# npts = 3611
# number of variables = 27
density
temperature
ye
velx
pressure
entr
abar
enuc
n
H1
p
He3
He4
C12
N14
O16
Ne20
Mg24
Si28
S32
Ar36
Ca40
Ti44
Cr48
Fe52
Fe54
Ni56
         26880840.239700000733          1421076112.9900000095          6396957196.5100002289         0.46383137959900000435         -4838.9392710299998726       7.684522638000000517e+26          0.8822781545700000283          53.287009051600001897              53684150839700000      0.00080408852852500002726                              0      9.5699803410299996918e-08                              0      0.00051404082212599998616      2.5553100857499999104e-09                              0      5.9360427231900001385e-10      1.7446178162299999637e-12      2.1969022516800000129e-11      9.6513941482800001146e-10      1.5943502027299998985e-10      1.8845390041200001456e-11      3.9610759523099996088e-12      3.2981372362000003097e-14      3.4374749449199998412e-14      3.6030280057899997639e-14      3.4265596506200000596e-06         0.99867834407011124576
         27342272.696800000966          1412236669.2000000477          6391957840.8999996185         0.46383730309999998687         -4905.2514116900001682      7.6226357105299996816e+26         0.88301531191200000048          53.316307074800000976            -812320133486000000       0.0007939070486540000457                              0       9.582111654240000165e-08                              0      0.00051269338793500003355       2.529990810429999871e-09                              0      5.8849633025200002881e-10      1.7250857774699999396e-12      2.1814897962800001513e-11      9.6324775606300007118e-10      1.5932300617800000304e-10       1.884416486709999938e-11      3.9681142657400004008e-12       3.300260735439999845e-14      3.4519699408399997337e-14      3.6339521285900001788e-14      3.4493744989899998144e-06         0.99868985008052157948
         27939160.731300000101          1398577602.6700000763          6384166541.0500001907         0.46384639304500002721          -5033.911871649999739      7.5272367051500005904e+26         0.88416763828099997902          53.361374038599997505             677766458812999936      0.00077827801354399999204                              0      9.6001817708699999244e-08                              0      0.00051057900633800004913      2.4908427389099999717e-09                              0      5.8058162614399996471e-10      1.6949547152900000897e-12      2.1575451564899998926e-11       9.602545648280000291e-10      1.5913897230000001021e-10      1.8840920493800001351e-11      3.9787766651900000639e-12      3.3032220549600001825e-14      3.4742620207700002338e-14       3.682181501779999883e-14      3.4850253556599998712e-06         0.99870755771558195057
         28590238.478100001812          1380908615.8299999237          6373947307.5399999619         0.46385805991700002071         -5157.7776103300002433      7.4042449039099995629e+26         0.88567985099799995119          53.419454863399998601             487670984949000000      0.00075819701919000001729                              0      9.6218975621199998892e-08                              0      0.00050776503438000001461      2.4399977379100000875e-09                              0      5.7027030927800002628e-10      1.6559648366700000966e-12       2.126241177419999991e-11      9.5623161620400002467e-10      1.5887825119500000032e-10      1.8834012438199999405e-11      3.9921533364400003734e-12      3.3064262486700000112e-14      3.5028883677300002732e-14      3.7454093235900001717e-14      3.5319203786399999159e-06         0.99873040563541259917
         29256316.860899999738          1363729739.4300000668          6363861503.9399995804         0.46386929529299997244         -5277.3591189799999484      7.2851172641399998108e+26          0.8871748276059999716          53.475634059900002626             533376712013000000      0.00073883895880899998557                              0      9.6412549942000001241e-08                              0      0.00050494771006200003111      2.3904026593899999966e-09                              0       5.601773778989999514e-10      1.6180830001800000578e-12      2.0954753494899998696e-11      9.5215735791100000398e-10      1.5859983287599999187e-10       1.882427626789999872e-11      4.0046794560800003949e-12       3.308839862089999767e-14      3.5304594194500003074e-14      3.8077759148999997175e-14      3.5783595177799999412e-06          0.9987525344518232151
         29931790.551399998367          1346673195.8299999237          6353701128.4600000381         0.46388033971600001193         -5397.5697759000004226      7.1672841426699994011e+26         0.88868439570099999614          53.531091424000003087           -1232399156729999872      0.00071979298083999995479                              0      9.6587644101999995435e-08                              0      0.00050207300769599999459      2.3410485879299999783e-09                              0      5.5009860767800000701e-10      1.5805275884799999609e-12      2.0646254683600001214e-11      9.4795242841999992165e-10      1.5829858738800000443e-10      1.8811577481299999254e-11       4.016622057129999891e-12      3.3105287589500002625e-14      3.5575493658700000122e-14       3.870563354030000098e-14      3.6253048465300002085e-06         0.99877440807628392605
         30442984.034099999815          1333819499.0799999237           6345939157.220000267         0.46388859618000000129         -5458.4472410899998067        7.07878017907999984e+26         0.88983809407699998584          53.572716669499996556            -248774194398000000      0.00070554020390800002011                              0      9.6706475285599996691e-08                              0      0.00049984791079100000626       2.303734188309999819e-09                              0      5.4245469554799997051e-10      1.5522330693399999965e-12       2.041143906790000021e-11      9.4466712024499993536e-10      1.5805365485899999114e-10      1.8799840571500000033e-11      4.0252676971900001677e-12      3.3113017303999998011e-14      3.5777520303300002346e-14      3.9184564580700002254e-14      3.6612619080499998148e-06         0.99879084992356437223
         30869332.404500000179          1325147434.7000000477          6340663384.9600000381         0.46389411941100000547          -5518.366064699999697      7.0192161360499995265e+26         0.89062624838199999644          53.600617135000000246              16082903580200000      0.00069600574589899998328                              0      9.6782895227900001514e-08                              0      0.00049833106885599997259      2.2786131612799998221e-09                              0      5.3729749815099999708e-10       1.533221414249999956e-12      2.0252555117599998923e-11      9.4240903680400005707e-10      1.5788137269200000927e-10       1.879101349849999916e-11      4.0309393196200001322e-12       3.311602629430000123e-14      3.5912800305600002935e-14      3.9510309886999999544e-14      3.6857770600899999402e-06         0.99880187666441477834
         31250685.897799998522                  1316586671.25          6335407795.2700004578         0.46389955257100001784         -5577.3731662000000142       6.960529239990000667e+26         0.89140988389099995448          53.628136239900001669            -988023273740000000      0.00068661889562400004426                              0      9.6851744971399999456e-08                              0      0.00049680451969800001628      2.2537228201999999663e-09                              0      5.3217792562699998533e-10       1.514427121590000024e-12      2.0094504879199998695e-11      9.4012544158099991388e-10      1.5770308281000001073e-10      1.8781324289099999383e-11      4.0363785134500001338e-12      3.3116800266699998009e-14      3.6045330297600001009e-14      3.9834110809499996869e-14      3.7102193559700001901e-06         0.99881276558532505749
         31607092.595600001514          1308133029.8399999142          6330177803.4799995422          0.4639048901319999807         -5635.5120423899998059      6.9026888461300000178e+26         0.89219017733999994579          53.655236541500002545              47290661325900000      0.00067739080048800004094                              0      9.6914688663199994813e-08                              0      0.00049527529474900004562      2.2291136598300000498e-09                              0      5.2710697817800001674e-10      1.4958814642099999453e-12      1.9937618750499999685e-11      9.3782578203399998157e-10      1.5752001671200000207e-10       1.877089932680000149e-11      4.0416042482599998275e-12      3.3115580035799999612e-14      3.6175267947100000779e-14      4.0156009323600003049e-14      3.7345815169899999003e-06         0.99882349851261542639
